1,0.267
2,0.135
3,0.093
4,0.071
5,0.057
6,0.051
7,0.046
8,0.040
9,0.035
10,0.030
11,0.030
12,0.029
13,0.025
14,0.024
15,0.025
16,0.025
17,0.019
18,0.020
19,0.020
20,0.019
21,0.020
22,0.020
23,0.019
24,0.019
25,0.015
26,0.014
27,0.014
28,0.014
29,0.014
30,0.014
31,0.014
32,0.015
33,0.014
34,0.015
35,0.014
36,0.014
37,0.014
38,0.014
39,0.015
40,0.014
41,0.014
42,0.014
43,0.014
44,0.014
45,0.014
46,0.014
47,0.014
48,0.014
49,0.014
50,0.009
51,0.009
52,0.009
53,0.009
54,0.009
55,0.010
56,0.010
57,0.009
58,0.010
59,0.009
60,0.010
61,0.011
62,0.009
63,0.010
64,0.009
